channel,lag_day_a,lag_day_b,pearson_correlation
purchase_volume,1,2,0.661889052859917
purchase_volume,2,3,0.733754337389214
purchase_volume,3,4,0.7258952865633409
purchase_volume,4,5,0.737205234563367
purchase_volume,5,6,0.7542073334153204
purchase_volume,6,7,0.7700798751089369
purchase_volume,7,8,0.7758544377521988
purchase_volume,8,9,0.7809288603069882
purchase_volume,9,10,0.7755935417799369
purchase_volume,10,11,0.7642926799174516
purchase_volume,11,12,0.7488323553425368
purchase_volume,12,13,0.7751868676738377
purchase_volume,13,14,0.7830332997922967
purchase_volume,14,15,0.7923913651610235
purchase_volume,15,16,0.7884874270919976
purchase_volume,16,17,0.7904497810170412
purchase_volume,17,18,0.7761266672359795
purchase_volume,18,19,0.7654637397059284
purchase_volume,19,20,0.7713199706297659
purchase_volume,20,21,0.7887793920513166
purchase_volume,21,22,0.798778389575502
purchase_volume,22,23,0.7997443338733207
purchase_volume,23,24,0.8009457270103694
purchase_volume,24,25,0.791464135154328
purchase_volume,25,26,0.7765021696460375
purchase_volume,26,27,0.7920859866051478
purchase_volume,27,28,0.8137318350531034
purchase_volume,28,29,0.8139024044671795
purchase_volume,29,30,0.8262291955753724
purchase_volume,30,31,0.8240598783851469
purchase_volume,31,32,0.8183104049600729
purchase_volume,32,33,0.8101752478167119
purchase_volume,33,34,0.8072262765517886
purchase_volume,34,35,0.8082403159130486
purchase_volume,35,36,0.8180202242493559
purchase_volume,36,37,0.8193270613776948
purchase_volume,37,38,0.8343277229053035
purchase_volume,38,39,0.8269570955152494
purchase_volume,39,40,0.8202817152975265
purchase_volume,40,41,0.7964855211686789
purchase_volume,41,42,0.801317783164896
purchase_volume,42,43,0.7964214855394443
purchase_volume,43,44,0.8124744469490003
purchase_volume,44,45,0.7965406947707163
purchase_volume,45,46,0.7999300406207969
purchase_volume,46,47,0.7737718815222411
purchase_volume,47,48,0.7925074304196263
purchase_volume,48,49,0.8050791216577978
purchase_volume,49,50,0.8038654059371477
purchase_volume,50,51,0.8044556474227665
purchase_volume,51,52,0.8008405545881953
purchase_volume,52,53,0.784287253701649
purchase_volume,53,54,0.7866668902888799
purchase_volume,54,55,0.7950650922828111
purchase_volume,55,56,0.8056784121517878
purchase_volume,56,57,0.8153539666396603
purchase_volume,57,58,0.8202275210413033
purchase_volume,58,59,0.8052533669471842
purchase_volume,59,60,0.8032149789704762
purchase_volume,60,61,0.7904273973925651
purchase_volume,61,62,0.8032405257024479
purchase_volume,62,63,0.8129863408922008
purchase_volume,63,64,0.8205570284253321
purchase_volume,64,65,0.8265723683921031
purchase_volume,65,66,0.8251636960907645
purchase_volume,66,67,0.8155305668511464
purchase_volume,67,68,0.8043930305972495
purchase_volume,68,69,0.8115487622714571
purchase_volume,69,70,0.8209519398061375
purchase_volume,70,71,0.8276124385356466
purchase_volume,71,72,0.8312606055211244
purchase_volume,72,73,0.8235240558034773
purchase_volume,73,74,0.807007228889796
purchase_volume,74,75,0.8062007725136778
purchase_volume,75,76,0.8143085617881921
purchase_volume,76,77,0.8271557964499919
purchase_volume,77,78,0.8289568695065228
purchase_volume,78,79,0.8361551284747956
purchase_volume,79,80,0.827204136971444
purchase_volume,80,81,0.8304299662561094
purchase_volume,81,82,0.8216185326308616
purchase_volume,82,83,0.8239780298000524
purchase_volume,83,84,0.822659662239385
purchase_volume,84,85,0.8293319080718743
purchase_volume,85,86,0.8346479133973228
purchase_volume,86,87,0.8322165800255779
purchase_volume,87,88,0.8214661093108246
purchase_volume,88,89,0.8129392424881269
purchase_volume,89,90,0.8123955087245822
purchase_freight,1,2,0.6755923700744982
purchase_freight,2,3,0.7364396457197238
purchase_freight,3,4,0.730229641801431
purchase_freight,4,5,0.7370439825081981
