purchase_month,task_orders,has_items_pct,all_item_core_complete_pct,customer_resolved_pct,core_purchase_context_complete_pct,product_metadata_complete_pct,seller_reference_complete_pct,payment_data_complete_pct,customer_geo_reference_complete_pct,seller_geo_reference_complete_pct,geo_reference_complete_pct
2016-09,1,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0
2016-10,265,100.0,100.0,100.0,100.0,99.24528301886792,100.0,100.0,100.0,100.0,100.0
2016-12,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2017-01,750,100.0,100.0,100.0,100.0,98.53333333333333,100.0,100.0,100.0,100.0,100.0
2017-02,1653,100.0,100.0,100.0,100.0,96.9751966122202,100.0,100.0,100.0,100.0,100.0
2017-03,2546,100.0,100.0,100.0,100.0,97.8790259230165,100.0,100.0,99.7643362136685,99.84289080911233,99.60722702278083
2017-04,2303,100.0,100.0,100.0,100.0,97.35128093790708,100.0,100.0,99.73947025618759,99.65262700825011,99.3920972644377
2017-05,3545,100.0,100.0,100.0,100.0,97.68688293370946,100.0,100.0,99.71791255289139,99.74612129760226,99.49224259520452
2017-06,3135,100.0,100.0,100.0,100.0,98.40510366826156,100.0,100.0,99.61722488038278,99.71291866028709,99.33014354066985
2017-07,3872,100.0,100.0,100.0,100.0,98.65702479338843,100.0,100.0,99.81921487603306,99.6642561983471,99.48347107438016
2017-08,4193,100.0,100.0,100.0,100.0,98.47364655378011,100.0,100.0,99.71380872883377,99.73765800143096,99.45146673026473
2017-09,4150,100.0,100.0,100.0,100.0,98.53012048192771,100.0,100.0,99.71084337349397,99.6867469879518,99.39759036144578
2017-10,4478,100.0,100.0,100.0,100.0,98.70477891916033,100.0,100.0,99.70969182670835,99.66502903081732,99.37472085752569
2017-11,7288,100.0,100.0,100.0,100.0,98.47694840834248,100.0,100.0,99.71185510428101,99.79418221734358,99.50603732162459
2017-12,5513,100.0,100.0,100.0,100.0,97.6056593506258,100.0,100.0,99.72791583529839,99.70977689098494,99.43769272628333
2018-01,7069,100.0,100.0,100.0,100.0,97.58098740981751,100.0,100.0,99.80195218559909,99.73122082331305,99.53317300891216
2018-02,6555,100.0,100.0,100.0,100.0,98.3676582761251,100.0,100.0,99.64912280701755,99.75591151792524,99.40503432494279
2018-03,7003,100.0,100.0,100.0,100.0,98.21505069256033,100.0,100.0,99.68584892189062,99.82864486648579,99.51449378837641
2018-04,6798,100.0,100.0,100.0,100.0,98.94086496028244,100.0,100.0,99.69108561341571,99.79405707561047,99.48514268902619
2018-05,6749,100.0,100.0,100.0,100.0,99.45177063268632,100.0,100.0,99.76292784116166,99.74811083123426,99.51103867239591
2018-06,6096,100.0,100.0,100.0,100.0,99.63910761154855,100.0,100.0,99.73753280839895,99.80314960629921,99.54068241469817
2018-07,6156,100.0,100.0,100.0,100.0,99.317738791423,100.0,100.0,99.72384665367122,99.90253411306043,99.62638076673164
2018-08,6351,100.0,100.0,100.0,100.0,99.54337899543378,100.0,100.0,99.66934341048653,99.87403558494725,99.54337899543378
