geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
2116,-23.515978148767932,-46.582169967107184,são paulo,RN
2116,-23.522700069940573,-46.58754575881468,sao paulo,SP
2116,-23.51845905773554,-46.584127839431055,sao paulo,SP
2116,-23.51845905773554,-46.584127839431055,sao paulo,SP
2116,-23.51906498112988,-46.58460977393391,sao paulo,SP
2116,-23.519738922846063,-46.58515074839868,são paulo,SP
2116,-23.51874612232064,-46.58305800254836,sao paulo,SP
2116,-23.51906498112988,-46.58460977393391,sao paulo,SP
2116,-23.52240398112988,-46.58722885775292,sao paulo,SP
2116,-23.51700437968147,-46.58304300305842,sao paulo,SP
2116,-23.52583443796528,-46.58995411241269,sao paulo,SP
2116,-23.525238562034723,-46.589436880373945,são paulo,SP
2116,-23.51874612232064,-46.58305800254836,são paulo,SP
4011,-23.57870736918802,-46.64577861546287,sao paulo,AC
4011,-23.577403986409998,-46.64165653052687,sao paulo,SP
4011,-23.578736967292205,-46.64247227923072,sao paulo,SP
4011,-23.580095205636585,-46.64308619154512,sao paulo,SP
4011,-23.579846381354912,-46.64587412531018,sao paulo,SP
4011,-23.580095205636585,-46.64308619154512,sao paulo,SP
4011,-23.581170754919544,-46.647654825841066,sao paulo,SP
4011,-23.578665779069787,-46.6425511290611,sao paulo,SP
4011,-23.57945742215358,-46.64185584026777,sao paulo,SP
4011,-23.57870736918802,-46.64577861546287,são paulo,SP
4011,-23.57909945490216,-46.64131830751919,sao paulo,SP
4011,-23.57870736918802,-46.64577861546287,sao paulo,SP
4011,-23.57956031334339,-46.64505238051724,sao paulo,SP
4011,-23.581110290582323,-46.64736781057763,sao paulo,SP
4011,-23.580095205636585,-46.64308619154512,sao paulo,SP
4011,-23.57999201664841,-46.64281473772285,sao paulo,SP
4011,-23.579864957816348,-46.64250722952856,sao paulo,SP
4011,-23.580362051309603,-46.64761501039841,sao paulo,SP
4011,-23.578665779069787,-46.6425511290611,sao paulo,SP
4011,-23.580893891482468,-46.64621627185642,sao paulo,SP
4011,-23.580893891482468,-46.64621627185642,são paulo,SP
4011,-23.579887023861776,-46.6426687887933,sao paulo,SP
4011,-23.58070705023373,-46.64565841840266,são paulo,SP
4011,-23.57945742215358,-46.64185584026777,sao paulo,SP
4011,-23.57870736918802,-46.64577861546287,são paulo,SP
4011,-23.57945742215358,-46.64185584026777,sao paulo,SP
4011,-23.581170754919544,-46.647654825841066,são paulo,SP
4011,-23.580362051309603,-46.64761501039841,sao paulo,SP
4011,-23.57945742215358,-46.64185584026777,sao paulo,SP
4011,-23.5805977821282,-46.64491526894224,sao paulo,SP
4011,-23.581110290582323,-46.64736781057763,sao paulo,SP
4011,-23.579520645483477,-46.64210678487036,sao paulo,SP
4011,-23.579496786283144,-46.64496304524206,sao paulo,SP
4011,-23.57894681181837,-46.6433611290611,sao paulo,SP
4011,-23.57909945490216,-46.64131830751919,sao paulo,SP
4011,-23.580362051309603,-46.64761501039841,sao paulo,SP
4011,-23.579864957816348,-46.64250722952856,sao paulo,SP
4011,-23.57945742215358,-46.64185584026777,sao paulo,SP
4011,-23.578963480437384,-46.641125865803,sao paulo,SP
