order_id,year_month_reproduced,expected_freight_oot_reproduced,expected_freight_available,availability_reason,serving_model
00010242fe8c5a6d1ba2dd792cb16214,2017-09,13.33265266331977,True,AVAILABLE,M1_ELIGIBLE
00018f77f2f0320c557190d7a144bdd3,2017-04,37.582981467359396,True,AVAILABLE,M1_ELIGIBLE
000229ec398224ef6ca0657da4fc703e,2018-01,19.674964108290826,True,AVAILABLE,M1_ELIGIBLE
00024acbcdf0a6daa1e931b038114c75,2018-08,12.873578936540369,True,AVAILABLE,M1_ELIGIBLE
00042b26cf59d7ce69dfabb4e55b4fd9,2017-02,,False,WARMUP_MIN_TRAIN_MONTHS,M0_FALLBACK
00048cc3ae777c65dbb7d2a0634bc1ea,2017-05,12.06510316704692,True,AVAILABLE,M1_ELIGIBLE
00054e8431b9d7675808bcb819fb4a32,2017-12,14.01924686805472,True,AVAILABLE,M1_ELIGIBLE
000576fe39319847cbb9d288c5617fa6,2018-07,55.98342627053478,True,AVAILABLE,M1_ELIGIBLE
0005a1a1728c9d785b8e2b08b904576c,2018-03,13.221654814766286,True,AVAILABLE,M1_ELIGIBLE
0005f50442cb953dcd1d21e1fb923495,2018-07,9.377717826207176,True,AVAILABLE,M1_ELIGIBLE
00061f2a7bc09da83e415a52dc8a4af1,2018-03,12.8703503152291,True,AVAILABLE,M1_ELIGIBLE
00063b381e2406b52ad429470734ebd5,2018-07,13.164547500157347,True,AVAILABLE,M1_ELIGIBLE
0006ec9db01a64e59a68b2c340bf65a7,2018-07,16.757145166274533,True,AVAILABLE,M1_ELIGIBLE
0008288aa423d2a3f00fcb17cd7d8719,2018-02,30.809554682218174,True,AVAILABLE,M1_ELIGIBLE
0009792311464db532ff765bf7b182ae,2018-08,18.944769093820465,True,AVAILABLE,M1_ELIGIBLE
0009c9a17f916a706d71784483a5d643,2018-04,12.569854811607112,True,AVAILABLE,M1_ELIGIBLE
000aed2e25dbad2f9ddb70584c5a2ded,2018-05,10.480140084946447,True,AVAILABLE,M1_ELIGIBLE
000c3e6612759851cc3cbb4b83257986,2017-08,15.524298580656339,True,AVAILABLE,M1_ELIGIBLE
000e562887b1f2006d75e0be9558292e,2018-02,14.819130693097346,True,AVAILABLE,M1_ELIGIBLE
000e63d38ae8c00bbcb5a30573b99628,2018-03,10.088452450755677,True,AVAILABLE,M1_ELIGIBLE
000e906b789b55f64edcb1f84030f90d,2017-11,13.361267956225301,True,AVAILABLE,M1_ELIGIBLE
000f25f4d72195062c040b12dce9a18a,2018-03,22.474017514046338,True,AVAILABLE,M1_ELIGIBLE
001021efaa8636c29475e7734483457d,2018-02,14.155402929984689,True,AVAILABLE,M1_ELIGIBLE
0010b2e5201cc5f1ae7e9c6cc8f5bd00,2017-09,17.972180680844826,True,AVAILABLE,M1_ELIGIBLE
00119ff934e539cf26f92b9ef0cdfed8,2017-08,26.034418709315403,True,AVAILABLE,M1_ELIGIBLE
0011d82c4b53e22e84023405fb467e57,2018-01,16.328769330878924,True,AVAILABLE,M1_ELIGIBLE
00125cb692d04887809806618a2a145f,2017-03,,False,WARMUP_MIN_TRAIN_MONTHS,M0_FALLBACK
00130c0eee84a3d909e75bc08c5c3ca1,2018-06,8.689987796258519,True,AVAILABLE,M1_ELIGIBLE
0013503b13da1eac686219390b7d641b,2017-12,15.447187452395715,True,AVAILABLE,M1_ELIGIBLE
