seller_state,count,pct
SP,1849,59.74151857835218
PR,349,11.276252019386106
MG,244,7.883683360258481
SC,190,6.138933764135703
RJ,171,5.525040387722132
RS,129,4.168012924071083
GO,40,1.2924071082390953
DF,30,0.9693053311793215
ES,23,0.7431340872374798
BA,19,0.6138933764135702
CE,13,0.420032310177706
PE,9,0.29079159935379645
PB,6,0.1938610662358643
MS,5,0.16155088852988692
RN,5,0.16155088852988692
MT,4,0.12924071082390953
RO,2,0.06462035541195477
SE,2,0.06462035541195477
AC,1,0.03231017770597738
PI,1,0.03231017770597738
MA,1,0.03231017770597738
AM,1,0.03231017770597738
PA,1,0.03231017770597738
